t_wall_iso,t_elapsed_s,frame_ag_two,cumulativeRewardAgent,cumulativeRewardAverage_two,epsilon_two,hits_counter,episodes
2025-11-18T10:52:59,50.772,12394,-0.9036013266668943,-0.4957903202320553,0.98773093,0,55
2025-11-18T10:53:03,54.937,12524,-0.9437670943857372,-0.5052279911759127,0.98760223,0,56
2025-11-18T10:53:03,55.178,13175,-0.796034332971302,-0.5131883345056257,0.98695774,1,57
2025-11-18T10:53:03,55.421,13826,-0.8162964940963672,-0.5213512994465894,0.98631325,1,58
2025-11-18T10:53:03,55.466,13957,-0.9437670943857372,-0.5307889703904468,0.98618356,0,59
2025-11-18T10:53:03,55.518,14088,-0.8812858913782184,-0.539601829304229,0.98605387,0,60
2025-11-18T10:53:08,59.746,14218,-0.941511455287993,-0.5490169438571089,0.98592517,0,61
2025-11-18T10:53:08,59.793,14349,-0.9062329056142627,-0.5580792729132515,0.98579548,0,62
2025-11-18T10:53:08,59.835,14480,-0.9136919064158124,-0.5672161919774097,0.98566579,0,63
2025-11-18T10:53:08,59.883,14611,-0.9336765146368191,-0.5765529571237779,0.9855361,0,64
2025-11-18T10:53:08,59.936,14742,-0.9088046883706997,-0.5856410040074849,0.98540641,0,65
2025-11-18T10:53:13,65.206,14872,-0.9013456875691499,-0.5946544608831763,0.98527771,0,66
2025-11-18T10:53:13,65.252,15003,-0.8937517026067439,-0.6035919779092438,0.98514802,0,67
2025-11-18T10:53:13,65.3,15134,-0.9186389206518567,-0.6127783671157624,0.98501833,0,68
2025-11-18T10:53:13,65.351,15265,-0.9111201236593754,-0.6218895683523561,0.98488864,0,69
2025-11-18T10:53:13,65.397,15396,-0.9287295004007748,-0.6311768633563638,0.98475895,0,70
2025-11-18T10:53:19,70.873,15526,-0.9261577176443379,-0.6404384405328072,0.98463025,0,71
2025-11-18T10:53:19,70.934,15657,-0.9212107034082937,-0.6496505475668901,0.98450056,0,72
2025-11-18T10:53:19,70.979,15788,-0.9163234853631809,-0.6588137824205219,0.98437087,0,73
2025-11-18T10:53:19,71.025,15919,-0.9212107034082937,-0.6680258894546048,0.98424118,0,74
2025-11-18T10:53:19,71.077,16050,-0.9237670943857372,-0.6772635603984622,0.98411149,0,75
2025-11-18T10:53:25,76.64,16180,-0.9437670943857372,-0.6867012313423195,0.98398279,0,76
2025-11-18T10:53:25,76.691,16311,-0.9261577176443379,-0.695962808518763,0.9838531,0,77
2025-11-18T10:53:25,76.739,16442,-0.9261577176443379,-0.7052243856952064,0.98372341,0,78
2025-11-18T10:53:25,76.782,16573,-0.9336765146368191,-0.7145611508415746,0.98359372,0,79
2025-11-18T10:53:25,77.221,17744,-0.6891266456866962,-0.7214524172984416,0.98243443,2,80
2025-11-18T10:53:34,86.491,17874,-0.9287295004007748,-0.7307397123024494,0.98230573,0,81
2025-11-18T10:53:34,86.541,18005,-0.8936919064158124,-0.7396766313666074,0.98217604,0,82
2025-11-18T10:53:35,86.794,18656,-0.8313340880813296,-0.7479899722474208,0.98153155,1,83
2025-11-18T10:53:35,86.846,18787,-0.9186389206518567,-0.7571763614539394,0.98140186,0,84
2025-11-18T10:53:35,86.892,18918,-0.9186389206518567,-0.766362750660458,0.98127217,0,85
2025-11-18T10:53:41,93.247,19048,-0.9237670943857372,-0.7756004216043153,0.98114347,0,86
2025-11-18T10:53:41,93.301,19179,-0.9336765146368191,-0.7849371867506835,0.98101378,0,87
2025-11-18T10:53:41,93.348,19310,-0.9313610793481433,-0.794250797544165,0.98088409,0,88
2025-11-18T10:53:44,95.948,20481,-0.6989010817769219,-0.8012398083619342,0.9797248,2,89
2025-11-18T10:53:44,96.481,20612,-0.9111201236593754,-0.810351009598528,0.97959511,0,90
2025-11-18T10:53:50,101.775,20742,-0.9437670943857372,-0.8197886805423853,0.97946641,0,91
2025-11-18T10:53:50,102.303,20873,-0.9036013266668943,-0.8288246938090542,0.97933672,0,92
2025-11-18T10:53:51,102.821,21004,-0.918939672531556,-0.8380140905343697,0.97920703,0,93
2025-11-18T10:53:51,103.41,21135,-0.9212107034082937,-0.8472261975684526,0.97907734,0,94
2025-11-18T10:53:52,103.925,21266,-0.9261577176443379,-0.856487774744896,0.97894765,0,95
2025-11-18T10:53:56,108.544,21396,-0.9136919064158124,-0.8656246938090542,0.97881895,0,96
2025-11-18T10:53:57,109.075,21527,-0.9287295004007748,-0.8749119888130619,0.97868926,0,97
2025-11-18T10:54:00,111.67,22178,-0.8185907239487457,-0.8830978960525493,0.97804477,1,98
2025-11-18T10:54:00,112.193,22309,-0.9287295004007748,-0.8923851910565571,0.97791508,0,99
2025-11-18T10:54:01,112.868,22440,-0.9411953116293003,-0.9017971441728502,0.97778539,0,100
2025-11-18T10:54:05,117.557,22570,-0.9411953116293003,-0.9017714263452858,0.97765669,0,101
2025-11-18T10:54:06,118.096,22701,-0.9336765146368191,-0.9019218022851354,0.977527,0,102
2025-11-18T10:54:07,118.629,22832,-0.9362482973932561,-0.9020195466460378,0.97739731,0,103
2025-11-18T10:54:07,119.173,22963,-0.9189550643105493,-0.9030231900496557,0.97726762,0,104
2025-11-18T10:54:08,119.722,23094,-0.8963832815541123,-0.9025493519213394,0.97713793,0,105
2025-11-18T10:54:12,124.37,23224,-0.9114362673180681,-0.9025493519213394,0.97700923,0,106
